yearID,player,team,position,salary
2024,Adam Kolarek,LAA,RP,900000
2024,Brock Stewart,MIN,RP,900000
2024,Ricky Vanasco,DET,RP,900000
2024,Eduard Bazardo,SEA,RP,870600
2024,Victor Gonzalez,NYY,RP,860000
2024,JoJo Romero,STL,RP,860000
2024,Dan Altavilla,KC,RP,850000
2024,Dylan Covey,PHI,RP,850000
2024,Justin Martinez,ARI,RP,850000
2024,Adrian Morejon,SD,RP,850000
2024,Jon Singleton,HOU,1B,850000
2024,Hunter Strickland,LAA,RP,850000
2024,Garrett Stubbs,PHI,C,850000
2024,Wander Suero,HOU,RP,850000
2024,Cole Sulser,TB,RP,850000
2024,Tyler Wade,SD,3B,850000
2024,Jorge Alcala,MIN,RP/SU7,845000
2024,Casey Mize,DET,SP/SP2,840000
2024,Jose Quijada,LAA,RP/SU8,840000
2024,Tejay Antone,CIN,RP,830000
2024,Keegan Akin,BAL,RP,825000
2024,Huascar Ynoa,ATL,SP/SP4,825000
2024,Anthony Volpe,NYY,SS,810100
2024,Austin Adams,OAK,RP,800000
2024,Garrett Crochet,CHW,SP,800000
2024,Sam Hilliard,COL,CF,800000
2024,Nate Pearson,CHC,RP,800000
2024,Blake Perkins,MIL,RF,800000
2024,Stone Garrett,WSH,LF/DH,798600
2024,George Kirby,SEA,SP,798600
2024,Cal Raleigh,SEA,C,795000
2024,Geraldo Perdomo,ARI,SS,786000
2024,Jeremy Pena,HOU,SS,783500
2024,Oswaldo Cabrera,NYY,LF/2B,783000
2024,Alek Manoah,TOR,SP/SP4,782500
2024,Thyago Vieira,ARI,RP,777500
2024,Hunter Brown,HOU,SP,774500
2024,Jordan Weems,WSH,RP,773500
2024,Sean Reid-Foley,NYM,RP,772750
2024,Jo Adell,LAA,RF,770000
2024,Joey Bart,PIT,C,770000
2024,Anthony Bender,MIA,RP,770000
2024,Reid Detmers,LAA,SP,770000
2024,Camilo Doval,SF,RP/CL,770000
2024,J.P. Feyereisen,LAD,RP,770000
2024,Tanner Houck,BOS,SP,770000
2024,Mickey Moniak,LAA,CF,770000
2024,James Outman,LAD,CF,770000
2024,Matt Thaiss,LAA,C/1B,770000
2024,Alek Thomas,ARI,CF,769500
2024,Yainer Diaz,HOU,C,768900
2024,Yohan Ramirez,BOS,RP,768750
2024,Bryan De La Cruz,PIT,RF,768000
2024,Bryson Stott,PHI,2B,768000
2024,J.P. France,HOU,SP,767600
2024,Jake Meyers,HOU,CF,767300
2024,Christopher Morel,TB,DH,767000
2024,William Contreras,MIL,C,766900
2024,Oswald Peraza,NYY,SS,766600
2024,Brandon Marsh,PHI,CF,766500
2024,Mitch White,MIL,RP,766400
2024,Jason Foley,DET,RP/SU8,766300
2024,Riley Greene,DET,LF,766300
2024,Tylor Megill,NYM,SP,766250
2024,Andy Ibanez,DET,2B,766100
2024,Jake McCarthy,ARI,CF,766000
2024,Matt Vierling,DET,RF,766000
2024,Spencer Torkelson,DET,1B,765700
2024,Brandon Bielak,OAK,RP,765000
