▼,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
535,Jake Meyers,29,HOU,AL,2.4,104,381,343,53,100,15,2,3,24,16,5,31,67,0.292,0.354,0.373,0.727,103,0.333,109,128,9,3,2,2,0,8/H,
630,Jake Cronenworth*,31,SDP,NL,2.4,135,515,419,61,103,20,1,11,59,3,3,69,107,0.246,0.367,0.377,0.744,108,0.339,114,158,4,15,4,7,1,*436/DH,
648,Ryan O'Hearn*,31,2TM,2LG,2.4,144,544,474,67,133,21,1,17,63,3,1,58,109,0.281,0.366,0.437,0.803,126,0.352,126,207,11,8,0,4,4,3D9H/7,AS
742,Vinnie Pasquantino*,27,KCR,AL,2.4,160,682,621,72,164,33,1,32,113,1,0,49,107,0.264,0.323,0.475,0.798,121,0.343,121,295,14,7,0,5,5,*3D,
458,Edmundo Sosa,29,PHI,NL,2.3,89,261,243,30,67,12,1,11,39,1,1,10,56,0.276,0.307,0.469,0.777,109,0.337,109,114,7,2,3,2,0,456H/78D,
532,Jared Triolo,27,PIT,NL,2.3,107,376,331,41,75,18,2,7,24,13,2,39,76,0.227,0.311,0.356,0.667,86,0.318,94,118,4,2,3,1,1,6534/H1D,
576,Isaac Paredes,26,HOU,AL,2.3,102,438,378,53,96,15,1,20,53,0,1,50,76,0.254,0.352,0.458,0.809,123,0.353,127,173,10,8,0,2,0,5D/H,AS
624,Alejandro Kirk,26,TOR,AL,2.3,130,506,451,45,127,18,0,15,76,1,0,48,59,0.282,0.348,0.421,0.769,111,0.334,110,190,16,1,0,6,2,*2H/D,AS
636,Ben Rice*,26,NYY,AL,2.3,138,530,467,74,119,28,4,26,65,3,2,50,100,0.255,0.337,0.499,0.836,130,0.355,130,233,18,9,0,2,0,3D2H,
683,Ryan McMahon*,30,2TM,2LG,2.3,154,586,509,62,109,23,1,20,53,3,1,70,189,0.214,0.312,0.381,0.693,87,0.305,83,194,7,4,0,3,1,*5/HD,
715,Spencer Torkelson,25,DET,AL,2.3,155,649,563,82,135,27,1,31,78,2,1,72,169,0.24,0.333,0.456,0.789,117,0.339,116,257,12,9,0,5,6,*3D/H,
743,TJ Friedl*,29,CIN,NL,2.3,152,685,579,82,151,22,2,14,53,12,3,81,115,0.261,0.364,0.378,0.742,103,0.341,106,219,7,16,4,5,0,*8/DH,
751,Brent Rooker,30,ATH,AL,2.3,162,699,626,92,164,40,3,30,89,6,1,65,155,0.262,0.335,0.479,0.814,122,0.353,125,300,13,5,0,2,4,*D9/7H,AS
545,Ramón Urías,31,2TM,AL,2.2,112,391,352,33,85,17,0,11,44,3,0,27,88,0.241,0.292,0.384,0.675,89,0.296,86,135,6,2,0,10,0,54H/3D,
588,Iván Herrera,25,STL,NL,2.2,107,452,388,54,110,13,0,19,66,8,2,43,84,0.284,0.373,0.464,0.837,137,0.372,140,180,20,15,0,4,1,D2/7H,
597,Victor Scott II*,24,STL,NL,2.2,138,463,398,54,86,15,1,5,37,34,4,42,111,0.216,0.305,0.296,0.601,73,0.288,71,118,3,10,10,3,0,*8/97,
643,Masyn Winn,23,STL,NL,2.2,129,537,491,72,124,27,0,9,51,9,5,34,102,0.253,0.31,0.363,0.673,91,0.298,89,178,11,8,2,2,0,*6/H,GG
664,Bryson Stott*,27,PHI,NL,2.2,147,560,499,66,128,22,3,13,66,24,5,54,91,0.257,0.328,0.391,0.719,96,0.324,95,195,4,1,2,4,1,*46H,
688,Jackson Chourio,21,MIL,NL,2.2,131,589,549,88,148,35,4,21,78,21,7,30,121,0.27,0.308,0.463,0.77,113,0.339,112,254,13,3,1,6,1,*879/D,
710,Michael Harris II*,24,ATL,NL,2.2,160,641,611,55,152,26,6,20,86,20,6,16,128,0.249,0.268,0.409,0.678,89,0.295,83,250,7,3,4,7,1,*8/H,
727,Riley Greene*,24,DET,AL,2.2,157,655,600,84,155,31,1,36,111,2,1,46,201,0.258,0.313,0.493,0.806,120,0.343,118,296,14,4,0,5,1,*7D8/H9,"AS,MVP-17,SS"
496,Miguel Rojas,36,LAD,NL,2.1,114,317,290,35,76,18,0,7,27,5,0,24,46,0.262,0.318,0.397,0.715,101,0.319,98,115,7,0,3,0,1,456H/13,
736,Ozzie Albies#,28,ATL,NL,2.1,157,667,603,74,145,23,2,16,74,14,3,55,94,0.24,0.306,0.365,0.671,90,0.307,92,220,9,4,0,5,2,*4,
420,Luke Keaschall,22,MIN,AL,2,49,207,182,25,55,14,0,4,28,14,3,19,29,0.302,0.382,0.445,0.827,128,0.377,135,81,4,5,0,1,0,4/D,ROY-9
515,Romy González,28,BOS,AL,2,96,341,315,47,96,23,3,9,53,6,5,18,81,0.305,0.343,0.483,0.826,128,0.363,137,152,8,3,0,5,1,34H/D5,
520,Freddy Fermin,30,2TM,2LG,2,109,347,319,32,80,13,0,5,26,1,2,19,65,0.251,0.297,0.339,0.636,78,0.284,77,108,5,2,7,0,1,2/HD4,
577,Nathan Lukes*,30,TOR,AL,2,135,438,388,55,99,19,2,12,65,2,4,38,60,0.255,0.323,0.407,0.73,100,0.313,97,158,12,2,7,3,2,*978H/D,
579,Isaac Collins#,27,MIL,NL,2,130,441,372,56,98,22,3,9,54,16,7,57,93,0.263,0.368,0.411,0.779,119,0.354,125,153,8,6,3,3,0,*7H/9D54,ROY-4
595,Jeff McNeil*,33,NYM,NL,2,122,462,399,42,97,21,5,12,54,3,0,49,55,0.243,0.335,0.411,0.746,111,0.333,113,164,5,8,2,4,4,487D/H93,
658,Xander Bogaerts,32,SDP,NL,2,136,552,491,63,129,30,0,11,53,20,2,48,94,0.263,0.328,0.391,0.72,100,0.32,94,192,12,4,1,8,3,*6/DH,
388,Tyler Heineman#,34,TOR,AL,1.9,61,174,149,25,43,8,1,3,20,2,0,12,31,0.289,0.361,0.416,0.777,114,0.339,112,62,1,6,5,2,0,2/H1,
440,Evan Carter*,22,TEX,AL,1.9,63,220,194,31,48,9,2,5,25,14,2,19,41,0.247,0.336,0.392,0.728,113,0.333,118,76,2,7,0,0,1,8/HD,
448,Jakob Marsee*,24,MIA,NL,1.9,55,234,209,28,61,18,3,5,33,14,6,22,48,0.292,0.363,0.478,0.842,133,0.365,130,100,2,2,0,1,0,87/9H,ROY-8
